code,市場,銘柄名,現在値
1964,東証1部,中外炉工業,2100
1965,東証2部,テクノ菱和,882
1966,東証2部,高田工業所,698
1967,東証1部,ヤマト,697
1968,東証1部,太平電業,2713
1969,東証1部,高砂熱学工業,1875
1971,東証2部,中央ビルト工業,616
1972,東証1部,三晃金属工業,2485
1973,東証1部,ＮＥＣネッツエスアイ,1827
1975,東証1部,朝日工業社,2986
1976,東証1部,明星工業,753
1979,東証1部,大気社,3135
1980,東証1部,ダイダン,2740
1981,東証JQS,協和日成,1000
1982,東証1部,日比谷総合設備,1873
1992,東証JQS,神田通信機,959
1994,東証JQS,高橋カーテンウォール工業,692
1997,東証JQS,暁飯島工業,1524
1999,福証,サイタホールディングス,2430
2001,東証1部,ニップン,1561
2002,東証1部,日清製粉グループ本社,1664
2003,東証1部,日東富士製粉,7120
2004,東証1部,昭和産業,2949
2009,東証1部,鳥越製粉,807
2053,東証1部,中部飼料,1244
2055,東証2部,日和産業,316
2058,福証,ヒガシマル,918
2060,東証1部,フィード・ワン,785
2107,東証1部,東洋精糖,1193
2108,東証1部,日本甜菜製糖,1648
2109,東証1部,ＤＭ三井製糖ホールディングス,1838
2112,東証1部,塩水港精糖,228
2114,東証2部,フジ日本精糖,551
2117,東証1部,日新製糖,1733
2120,東証1部,ＬＩＦＵＬＬ,377
2121,東証1部,ミクシィ,2641
2122,マザーズ,インタースペース,1009
2124,東証1部,ＪＡＣ　Ｒｅｃｒｕｉｔｍｅｎｔ,1813
2127,東証1部,日本Ｍ＆Ａセンター,2719
2130,東証1部,メンバーズ,2866
2134,東証JQS,燦キャピタルマネージメント,41
2136,東証JQS,ヒップ,790
2137,札幌ア,光ハイツ・ヴェラス,756
2138,東証JQS,クルーズ,2262
2139,東証1部,中広,355
2146,東証1部,ＵＴグループ,3240
2148,東証1部,アイティメディア,1804
2150,マザーズ,ケアネット,6850
2151,東証1部,タケエイ,1295
2152,東証JQS,幼児活動研究会,1344
2153,東証1部,Ｅ・Ｊホールディングス,1125
2154,東証1部,夢真ビーネックスグループ,1290
2156,東証JQS,セーラー広告,290
2157,東証1部,コシダカホールディングス,599
2158,マザーズ,ＦＲＯＮＴＥＯ,797
2159,東証2部,フルスピード,427
2160,マザーズ,ジーエヌアイグループ,2006
2162,東証JQS,ｎｍｓホールディングス,375
2163,東証1部,アルトナー,809
2164,東証JQG,地域新聞社,739
2168,東証1部,パソナグループ,1914
2169,東証1部,ＣＤＳ,1534
2170,東証1部,リンクアンドモチベーション,555
