code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,åªã‡óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
2669,"18,487,494","12,653,492",,,"9,952,620","466,125","1,459,148","6,590,412","334,753"
2674,"9,068,949","2,197,245",,,"3,328,376","2,436,524","5,170,133","3,964,008","1,102,267"
2675,"3,061,791","997,186",,,"3,065,273","100,824","4,445,591","13,319,982","3,757,257"
2681,"113,687","51,865",,,"28,177","1,766","25,524","41,038","55,717"
2686,"36,203","1,372",,,"1,928",49,"5,333","36,930","2,681"
2721,"336,830","124,821",,,"24,222",,"31,685","41,038","1,666"
2733,"184,700","21,784",,,"49,827","12,943","17,147","133,754","30,682"
2735,"17,439,798","7,586,464",,,"1,653,364","406,946","3,185,872","10,384,201","1,354,776"
2743,"1,967,278","151,420",,,"1,139,564","1,000","64,726","3,215,397",-
2760,"82,721","5,680",,,"1,820",,"4,633","39,997","21,220"
2768,"1,217,464 1,195,403",,,"157,995 191,292",,,,"754,356 734,754",
2782,"79,393","53,593",,,"21,170",339,"14,747","23,570","6,613"
2802,"585,169",,,"486,443",,,,"336,339",
2805,"71,790","26,591",,,"40,899","7,344","11,866","45,810","24,462"
2810,"156,909","78,905",,,"89,942","60,268","78,278","51,327","30,532"
2813,"3,693,482","1,058,759",,,"3,823,858","145,330","398,900","3,128,255","1,546,747"
2815,"79,407,920","54,877,790",,,"20,055,546","Å¶1 10,852,886","11,825,173","8,947,635","3,866,006"
2830,"9,614,053","685,014",,,"6,102,249","180,931","959,383","4,510,612","1,643,226"
2884,"14,828,843","4,942,264",,,"3,843,649",,"698,884","7,009,537","8,821,680"
2892,"21,457",177,,,"12,025",284,"2,314","11,735","4,559"
2894,"4,066,814","2,579,907",,,"1,803,682","462,312","523,850","3,227,833","583,514"
2914,"1,930,842",,,"767,178",,,,,
2915,"26,317","12,385",,,"29,451","5,077","6,385","15,004","11,738"
2925,"10,365","4,437",,,"13,912",551,"1,011","8,932","2,288"
2928,"85,548",,,"21,989",,,,,
2929,"13,584,423","5,714,022",,,"1,750,853","134,510","722,903","10,097,333","1,852,002"
2930,"5,857,845","3,612,973",,,"99,595",,"215,237","1,022,521",
2931,"10,898,393","6,982,831",,,"4,141,931","3,340,960","3,680,209","5,516,041","4,772,194"
2974,"30,768,478","10,833,643",,,"1,278,248",,"392,446","19,591,366","6,088,290"
2986,"14,664,248","3,147,974",,,"8,973,031",,,"6,419,628","13,505,039"
2987,"6,630,359","2,853,115",,,"91,719",,"62,339","2,241,606","2,042,779"
3035,,,,,,,,"4,619,280","534,592"
3040,"12,137","7,228",,"1,253",,123,"1,464","7,852",153
3050,"207,183","79,956",,,"202,169","25,292","69,170","117,255","139,385"
3053,"5,849","4,229",,,"4,244",,"2,239","7,330","3,622"
3054,"7,229,272","3,356,899",,"50,741",,"77,048","267,146","3,835,903","587,413"
3055,"93,694","20,434",,,"19,102","16,668","18,320","74,937","3,647"
3101,"212,963","34,695",,,"224,640","26,503","48,911","131,444","171,109"
3107,"331,461","32,058",,,"39,172","6,606","10,426","230,519","23,916"
3133,"314,912","44,796",,,"214,596",,"187,216","815,656","555,137"
3159,"96,759","22,952",,,"23,207","2,908","12,880","70,030","22,844"
3187,"2,669,469","653,667",,,"659,439","231,308","1,343,325","2,639,344","188,907"
3199,"30,544,558","5,191,447",,,"21,542,034","1,555,763","4,810,020","25,164,532","16,208,375"
3201,"80,548","31,722",,,"38,858","23,820","28,022","38,379","14,447"
3223,"1,155,826","733,338",,,"107,355","1,500","331,556","1,790,011","140,175"
3231,"1,043,321","71,625",,,"714,224","86,428","145,292","269,322","1,065,633"
3264,"66,856","17,116",,,"3,080",,"5,682","25,653","22,927"
3266,"2,629",600,,,434,118,348,452,666
3276,"9,373,218","5,128,269",,,"3,143,444",,"741,879","3,296,874","3,661,348"
3302,"40,040,255","9,967,610",,,"8,460,483","26,015,400","26,372,731","8,878,766","8,219,114"
3316,"4,762,940","2,496,941",,,"615,613","115,674","318,403","1,922,540","350,488"
3322,"6,504,453","2,840,173",,,"760,559",,"1,122,786","3,230,306","817,166"
3356,"4,515,795","2,418,826",,,"208,916","57,336","374,610",,
3374,"15,585,594","9,512,844",,,"3,454,676","619,086","1,408,434","8,839,471","3,577,135"
3396,"26,550","16,697",,,"6,593","1,178","1,445","14,348","3,314"
3401,"534,580","170,185",,,"282,291","84,797","145,212","310,054","298,116"
3421,"26,967,661","11,912,633",,,"23,917,977",,"3,428,940","13,277,998","2,795,143"
3434,"28,708","7,912",,,"19,288","3,922","4,517","16,921","12,217"
3440,"9,055,474","6,464,584",,,"2,826,928","41,129","93,429","1,543,350","1,036,015"
3454,"72,400,228","5,006,098",,"560,319",,,,"6,017,260","50,267,055"
3458,"51,574,940","17,454,477",,,"4,553,723","6,605,695","14,573,662","16,608,482","29,161,043"
3475,"25,232,858","5,606,210",,"51,143",,,,"13,144,628","5,014,780"
3477,"6,274,979","2,161,923",,,"215,550",,"76,620","3,145,877","610,664"
3480,"12,544,088","10,855,989",,,"24,701,245",,"5,320,766","11,975,690","15,067,850"
3482,"53,992","6,406",,47,,,,"4,879","41,430"
3484,"4,397,518","2,908,850",,,"446,035",,"5,553,017","1,755,621","5,711,746"
3486,"20,525,297","1,245,179",,"252,450",,,"561,912","10,753,719","6,485,898"
3490,"4,273,134","2,384,506",,,"1,102,890","1,632","89,940","1,029,607","2,934,874"
3491,"17,794","13,942",,"1,319",,,,"4,309","5,025"
3494,"2,270,054","900,195",,,"13,623,877","107,110","291,453","2,817,352","9,594,049"
3496,"1,572,807","1,204,998",,"84,565",,,"280,907","418,179","552,901"
