code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,åªã‡óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
1898,53821,,14035,,23655,288,1669,30877,7742
1899,113005,16926,31641,,26910,5363,8257,68145,7431
1904,27280316,13238291,,,5884492,4429859,6360835,15787094,218646
1905,15102448,,8335688,,2465291,323304,542617,5057794,890513
1909,24939810,4516905,,,8955660,1301256,4880252,16579583,4473700
1911,710437,91017,,,195529,183342,216672,364276,352085
1914,14131503,,5034299,,11295665,4862446,5337273,7067440,1153007
1921,22427373,,9493281,,15366771,12664307,12985060,9566381,6266504
1926,73791,,28259,,21995,7449,16524,35622,1069
1930,38559,,24250,,11900,1207,3161,11123,4126
1934,131340,,39006,,47011,10214,19855,54331,21876
1938,44437092,,6760302,,19801566,15124976,15959329,19083184,6897601
1939,52127,,8467,,28120,11029,16143,33414,14015
1941,108253,,18625,,35378,112321,123688,43997,13774
1942,278545,,58478,,111601,46975,61048,144952,32586
1944,434229,,42422,,98662,133796,145215,162225,27588
1946,123909,,46909,,147615,24253,32622,73718,114773
1949,109639,,39918,,11998,20002,23970,53544,6807
1950,167783,,6457,,47761,40642,47421,68323,12969
1951,300227,,42785,,113375,37707,67792,156212,46477
1952,70127,,12172,,2834,23006,24956,45173,2756
1954,91129,21452,,,39413,,17271,65376,30987
1959,212574,,50905,,80698,63194,71530,125361,19429
1960,25142571,,6642495,,7136662,4697018,11250988,12354332,1709481
1961,116054,,36087,,13972,28816,40348,67882,11731
1964,27616,6922,,,4361,5517,6222,14316,2468
1965,40959,14726,,,4427,10035,16848,18245,2915
1966,20795054,2666275,,,7643437,690257,2169901,14744176,3855862
1967,26534054,,7228125,,6139953,10015848,11220016,11434854,1345840
1968,94508,,31151,,20466,9427,13362,40487,15156
1969,196511,,64127,,21036,36114,46900,105408,29888
1971,3045,1024,,,4335,0,306,3680,1584
1972,21704,,9298,,7094,9,1226,7496,2952
1973,211806,68426,,,10845,1973,22777,91474,31745
1979,165387,,52059,,10150,32677,44866,86919,15625
1980,96916,31775,,,5190,17998,29762,52883,4489
1981,,,,,,2579234,3076047,8462927,749243
1982,62888,29399,,,590,17751,22476,21434,2110
1992,4766928,,2690878,,1703813,1180225,1615840,2429554,1226617
1994,8295703,,2265509,,2987476,219463,2218895,2531015,619045
1997,6236887,,3684986,,2628711,323397,395731,3300944,653540
1999,4202506,,1849929,,1902541,340606,1101726,2774880,589899
2002,238674,61282,,,215428,147168,159935,108740,133900
2003,27479,1318,,,13085,7780,11247,9195,3528
2004,91352,11164,,,84872,28805,31881,71305,38923
2009,19334633,7957900,,,10193423,8523611,8714316,4287834,2643647
2053,55920,11747,,,26036,4836,5516,21389,6271
2055,20935283,9818207,,,5334383,556569,1548159,9966649,103690
2058,6286493,2534402,,,4285580,703969,1203184,4640000,2125369
2107,7716,3491,,,419,956,3021,1367,403
2109,60929,17797,,,54828,10831,24487,27779,27251
2112,9889,4897,,,10324,4697,6958,8854,8462
2114,10364862,3667721,,,3194747,7406626,9843521,3632935,1595986
2117,25553,,,11432,,,,8156,
2120,22176757,,,1590795,,,,14402010,
2121,166121,149812,,,12998,13928,23939,24498,12267
2124,10757,8887,,,471,0,1095,3220,171
2127,47765196,42863754,,,532801,5235712,7073707,9739790,391507
2130,7188210,,,252811,,,,3770912,
2134,493654,112251,,,478052,5637,177443,153675,180800
2136,3566601,2816854,,,1260584,7000,260732,1460561,592245
2137,6328962,5786664,,,557120,1533,610017,904702,2665874
2139,2637691,1653424,,,638818,171961,499638,1946016,198437
2146,43979,25266,,,464,882,2681,22564,9904
2148,7667317,,,142977,,,,1894223,
2151,22388,10746,,,57682,286,2695,18173,35128
2152,7053149,6680578,,,311961,2095106,3018225,1207757,2130136
2153,23428,9868,,,5293,2627,4729,10838,1671
2154,21153,5875,,984,,,,13894,1312
2156,2024078,980218,,,1063391,180574,1073340,1551466,830406
2157,9207665,7447005,,,24402079,398280,8673315,11030644,10969947
2158,5541277,3004591,,,1163860,888314,1081916,4046617,3251909
2159,6838068,4024753,,,119376,171681,503845,2816921,268426
2162,21658210,4746154,,,7890096,17365,1022518,17460639,9344157
2163,3962653,3019657,,,106873,7261,313338,805088,504042
2169,4764966,2162046,,,2884137,,494158,1724430,9090
2172,965040,575310,,,166863,,41821,472160,235673
2176,2390658,655990,,,1476967,,131199,2038119,965446
2178,14085157,7451382,,,255380,4284,577603,6003268,2364031
2179,3311611,1754567,,,3924144,34523,1270401,3688002,2482455
2180,5029819,2543490,,,421545,,604219,2502393,1588333
2183,9722712,5084201,,,701164,294423,1204882,5333824,4234202
2186,3485622,1992163,,,525932,,263004,888403,163989
2191,800031,519953,,,0,195866,227244,49347,72100
2193,25473949,,,362108,,,,1270064,
2196,9316483,6723607,,,9118087,,7628780,12054799,8522984
2198,3198533,1512695,,,11286148,,2370961,4912189,4604825
2201,77051,31568,,,82431,35583,42005,48278,29714
2204,7921687,1146167,,,28479360,4954912,5741439,9156038,7182964
2206,168344,94998,,,97794,40230,59088,62858,44109
2207,13055,4445,,,23110,37740,37896,6546,21331
2208,35683,14794,,,35959,2920,5844,21030,7280
2209,9841182,839115,,,16766763,1388832,2712438,11254536,1966415
2211,33756,19739,,,23170,6544,10947,15005,3878
2212,261117,137125,,,314558,73808,124176,209038,156603
2215,5273,2306,,,8064,1346,4569,6010,3919
2216,7910853,1597313,,,9306533,180472,1476825,5408292,2346556
2218,4739644,2296168,,,8883762,597160,785848,4912688,4773084
2220,25577,6510,,,45525,12545,18237,22646,10346
2224,1408323,329090,,,2897224,149541,306291,1876032,926109
2226,13214,4469,,,11277,,2035,9471,4095
2264,155615,19262,,,254336,21193,35724,144906,105937
2267,266800,176254,,,203045,80238,159875,93546,101794
2268,6770771,2532385,,,6101110,83860,3346054,4321269,2755783
2269,426053,40328,,,454994,125494,169959,253011,154630
2270,161716,21840,,,177277,44517,56143,128558,71835
2281,98747,12968,,,91060,6197,23068,71957,27823
2286,13633516,2466245,,,10437707,3655811,4575706,12150810,6271381
2288,52269,8476,,,60346,13314,18150,43515,12351
2291,6290,2635,,,6900,2305,2519,7008,4495
2292,102409,40284,,,52391,13220,16955,48568,29319
2293,6469081,1960635,,,5180941,1545608,1783584,7030889,2789902
2294,11635,8017,,,5323,108,1600,3479,534
2296,226384,50952,,,97595,29331,48382,123041,23396
2300,843884,463676,,,2071705,517004,1224692,768185,697912
2301,5441999,4203831,,,848654,4017901,4529093,419607,239946
2303,1794727,1284753,,,7825,103494,153941,122478,46271
2305,18169855,13641832,,,12356768,1188654,5795010,6522183,4252378
2307,4273132,1264359,,,260709,958471,1393733,2139109,758945
2309,37951,10591,,,42208,3997,9998,26365,30193
2311,2284131,1438950,,520989,,1375200,2107497,431625,502431
2315,5659467,4425276,,68321,,4791459,5007070,990798,821483
2317,33420,19037,,,917,1891,4240,12746,143
2323,671263,531249,,,6227,5000,25201,183497,150407
2325,23229837,14659660,,,2224906,1353602,3009769,6383844,1317473
2326,12725,11382,,,233,102,493,4743,50
2327,171834,5255,,,19572,65036,75776,60694,25400
2332,5649477,2853917,,,51925,1087730,1514618,1778892,256639
2334,690119,421012,,,,,15953,227954,
2338,878054,792815,,,,107374,133044,34681,303306
2340,5478117,4788176,,,10313976,115375,2322971,7392427,9791299
2341,3991790,3488367,,,578764,41557,180711,553746,15718
2342,5811831,3030149,,,2125116,163077,447865,2164538,1717371
