code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
7698,7714265,1733076,,5260320.0,24470.0,1301119.0,8809278,3169631.0
7702,38983,5968,,24105.0,4212.0,5304.0,22545,11546.0
7705,22973460,6358392,,12704721.0,1560720.0,2521329.0,7805517,3121322.0
7707,8046020,3737784,,1600471.0,37440.0,97508.0,3372159,280988.0
7709,2330181,1777114,,4228.0,3603.0,28155.0,998448,415514.0
7711,3664365,984200,,1808843.0,,803656.0,2023847,853444.0
7713,10069395,2786836,,3674808.0,1012185.0,3294027.0,2438340,1247997.0
7715,29472311,8065868,,10878217.0,8319047.0,9437034.0,15391881,9771494.0
7716,57220745,34511176,,14788581.0,6393235.0,12628012.0,6164930,793484.0
7717,71379,33278,,4382.0,193.0,3203.0,34195,13480.0
7719,3233919,990896,,1065249.0,12389.0,153234.0,1532135,894422.0
7721,40950,11620,,6970.0,3606.0,5593.0,17722,3884.0
7722,13407598,5914142,,3101406.0,467122.0,2113450.0,6243657,1321817.0
7723,35900,13843,,8308.0,9507.0,12871.0,16320,6490.0
7725,9985109,7045459,,664789.0,130402.0,425364.0,1878835,684731.0
7726,9462486,2157480,,6868787.0,1824434.0,2353146.0,5779424,4573061.0
7727,11065461,3780558,,8864471.0,256281.0,1382747.0,4849019,4197896.0
7729,111516,43657,,36645.0,3163.0,9405.0,39296,5482.0
7730,27955,18706,,10367.0,991.0,1448.0,2258,801.0
7732,101942,20815,,22520.0,4407.0,15792.0,49062,48460.0
7734,35476292,9631315,,18146517.0,5514420.0,8553749.0,8576538,3134179.0
7739,79235,27215,,36263.0,1981.0,4580.0,16447,5323.0
7743,17106311,3955215,,20588534.0,1291356.0,2520966.0,16904657,12702338.0
7745,40028,13118,,10185.0,164.0,2267.0,24588,6143.0
7746,4558677,2328155,,2989176.0,196723.0,365379.0,2139388,4603717.0
7747,49538,14203,,38774.0,,,13751,9191.0
7748,4722179,2485871,,1305052.0,1276.0,208729.0,974997,216891.0
7749,37624663,27491119,,10052654.0,982917.0,1996981.0,4154552,2129304.0
7758,4254,1638,,1842.0,834.0,877.0,1074,407.0
7760,11318118,3381854,,5315030.0,,,6886984,2986829.0
7762,244444,101816,,75948.0,33341.0,40765.0,59745,93201.0
7769,21827,10276,,9539.0,1912.0,3500.0,5142,5515.0
7771,2748909,683667,,2146623.0,30126.0,96002.0,3031092,936260.0
7774,6544600,5275871,,1555063.0,,2946.0,919009,35774.0
7775,6272550,2170643,,4225091.0,,233555.0,3347018,1223627.0
7776,1572646,1467155,,,,,185775,160000.0
7777,3635741,1308996,,,,,752216,1059428.0
7780,70207,41455,,39301.0,452.0,5017.0,22530,43215.0
7781,6709827,3615734,269436.0,,,656223.0,3406220,1297121.0
7782,2643299,770448,36415.0,,,88901.0,661948,170000.0
7800,2865106,1759388,68257.0,,,,438876,329293.0
7805,2531740,1196126,,4190020.0,,274188.0,2002781,2101934.0
7808,5968362,2147385,,8468182.0,,449771.0,6188377,4957162.0
7809,4880957,2381700,,2878924.0,,,1879901,3375588.0
7810,3166475,924372,,1419849.0,,133099.0,1503743,1443325.0
7811,16823633,3723389,,12979278.0,762295.0,1615075.0,14975902,2586816.0
7813,4008531,1592957,,359760.0,904810.0,1893199.0,2282901,1357474.0
7814,28715,12194,,23648.0,4463.0,7064.0,38692,8569.0
7815,5276446,1505626,,9176223.0,80544.0,718171.0,3844096,6731336.0
7816,8403100,3449072,,8444738.0,713854.0,1786813.0,5575326,2653093.0
7817,86144,35057,,39804.0,15636.0,25408.0,23720,16814.0
7819,10073410,5252200,,2933196.0,813340.0,1192357.0,4838412,4375747.0
7820,25872859,5709200,,6305084.0,1566121.0,2326946.0,9771619,571248.0
7821,33204,12702,,21173.0,3606.0,4978.0,7844,17276.0
7822,42344,8307,,30662.0,5736.0,7057.0,35316,3145.0
7823,26586,19073,,8674.0,2319.0,8536.0,12147,7517.0
7826,34169,4186,,11943.0,21.0,1027.0,14444,7277.0
7829,12761646,2491861,,6740787.0,314498.0,2810911.0,7332029,9943456.0
7831,7549,4323,,4704.0,954.0,1299.0,4557,3509.0
7833,4612017,3911314,58632.0,,,,787559,73857.0
7836,1427313,907349,,88238.0,8971.0,55703.0,577088,537629.0
7837,7471172,5174877,,4549321.0,,962604.0,7559523,2782061.0
7838,25108060,14674737,,16172973.0,1561915.0,2167408.0,15958051,12513220.0
7839,16985360,9645344,,3624313.0,,800515.0,4208624,1159225.0
7840,32055,9702,,19633.0,634.0,8674.0,17698,7106.0
7841,10689563,6628562,,6316042.0,1139736.0,2004869.0,1885547,1314052.0
7844,24788,16403,,1283.0,4668.0,6447.0,6499,212.0
7846,86941,40403,,26742.0,3771.0,8538.0,30061,7830.0
7849,4891124,1705252,,28235.0,99290.0,858819.0,972940,184639.0
7850,7927402,4341384,,4023843.0,814379.0,1316731.0,7494470,3309160.0
7856,20195640,7121369,,9665948.0,,1937092.0,7361024,1336718.0
7857,8499775,5321611,,6419129.0,2911316.0,3282542.0,2936303,1108905.0
7859,3036298,1547986,,333828.0,,103789.0,834646,130886.0
7862,111368,54519,,79120.0,21660.0,29248.0,48941,2689.0
7863,4620072,3118481,,1686451.0,614162.0,694465.0,3414564,931549.0
7865,2340910,1418097,,48655.0,28.0,246964.0,429594,
7868,21364,13154,,36794.0,3242.0,5761.0,13109,19860.0
7870,2791308,802471,,3974818.0,,,1630931,738053.0
