code,市場,銘柄名,現在値
1965,東証2部,テクノ菱和,880
1966,東証2部,高田工業所,691
1967,東証1部,ヤマト,704
1968,東証1部,太平電業,2631
1969,東証1部,高砂熱学工業,1776
1971,東証2部,中央ビルト工業,614
1972,東証1部,三晃金属工業,2636
1973,東証1部,ＮＥＣネッツエスアイ,1749
1975,東証1部,朝日工業社,2953
1976,東証1部,明星工業,747
1979,東証1部,大気社,3135
1980,東証1部,ダイダン,2744
1981,東証JQS,協和日成,1010
1982,東証1部,日比谷総合設備,1897
1992,東証JQS,神田通信機,950
1994,東証JQS,高橋カーテンウォール工業,690
1997,東証JQS,暁飯島工業,1500
1999,福証,サイタホールディングス,2480
2001,東証1部,ニップン,1593
2002,東証1部,日清製粉グループ本社,1747
2003,東証1部,日東富士製粉,7160
2004,東証1部,昭和産業,2994
2009,東証1部,鳥越製粉,814
2053,東証1部,中部飼料,1414
2055,東証2部,日和産業,318
2058,福証,ヒガシマル,938
2060,東証1部,フィード・ワン,813
2107,東証1部,東洋精糖,1190
2108,東証1部,日本甜菜製糖,1671
2109,東証1部,ＤＭ三井製糖ホールディングス,1845
2112,東証1部,塩水港精糖,225
2114,東証2部,フジ日本精糖,552
2117,東証1部,日新製糖,1736
2120,東証1部,ＬＩＦＵＬＬ,375
2121,東証1部,ミクシィ,2637
2122,マザーズ,インタースペース,1005
2124,東証1部,ＪＡＣ　Ｒｅｃｒｕｉｔｍｅｎｔ,1807
2127,東証1部,日本Ｍ＆Ａセンター,2656
2130,東証1部,メンバーズ,2649
2134,東証JQS,燦キャピタルマネージメント,43
2136,東証JQS,ヒップ,796
2137,札幌ア,光ハイツ・ヴェラス,765
2138,東証JQS,クルーズ,2085
2139,東証1部,中広,355
2146,東証1部,ＵＴグループ,3125
2148,東証1部,アイティメディア,1613
2150,マザーズ,ケアネット,5470
2151,東証1部,タケエイ,1271
2152,東証JQS,幼児活動研究会,1056
2153,東証1部,Ｅ・Ｊホールディングス,1100
2154,東証1部,夢真ビーネックスグループ,1285
2156,東証JQS,セーラー広告,289
2157,東証1部,コシダカホールディングス,586
2158,マザーズ,ＦＲＯＮＴＥＯ,725
2159,東証2部,フルスピード,412
2160,マザーズ,ジーエヌアイグループ,2149
2162,東証JQS,ｎｍｓホールディングス,367
2163,東証1部,アルトナー,785
2164,東証JQG,地域新聞社,743
2168,東証1部,パソナグループ,1882
2169,東証1部,ＣＤＳ,1535
2170,東証1部,リンクアンドモチベーション,577
2172,札幌ア,インサイト,376
2173,東証JQG,博展,399
2174,東証1部,ＧＣＡ,890
2175,東証1部,エス・エム・エス,2971
2176,東証JQS,イナリサーチ,721
2178,マザーズ,トライステージ,381
2179,東証JQS,成学社,804
2180,東証1部,サニーサイドアップグループ,760
2181,東証1部,パーソルホールディングス,2003
2183,東証1部,リニカル,757
2185,東証JQS,シイエム・シイ,2375
2186,東証JQS,ソーバル,1020
2191,東証JQS,テラ,216
2193,東証1部,クックパッド,255
